date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-11-24,11681.0,11804.0,11954.0,11675.0,9244.0,1634242256.0,2.34,-0.82,-98.0,0.0
2025-11-25,11875.0,12115.0,12208.0,11832.0,7081.0,1277961152.0,3.19,2.8,330.0,0.0
2025-11-26,12060.0,12209.0,12260.0,11950.0,8364.0,1522249568.0,2.58,1.48,178.0,0.0
2025-11-27,12239.0,12477.0,12485.0,12147.0,8987.0,1660912928.0,2.79,2.84,344.0,0.0
2025-11-28,12440.0,12643.0,12664.0,12353.0,7745.0,1454062720.0,2.52,2.62,323.0,0.0
2025-12-01,12633.0,13261.0,13494.0,12604.0,25942.0,5076415744.0,7.11,5.95,745.0,0.0
2025-12-02,13298.0,13422.0,13822.0,13287.0,20442.0,4142352304.0,4.1,2.89,377.0,0.0
2025-12-03,13480.0,13573.0,13850.0,13441.0,20383.0,4164676256.0,3.03,0.47,64.0,0.0
2025-12-04,13678.0,13421.0,13813.0,13333.0,19080.0,3895138016.0,3.52,-1.47,-200.0,0.0
2025-12-05,13380.0,13691.0,13745.0,13258.0,14083.0,2845725600.0,3.58,0.6,82.0,0.0
2025-12-08,13670.0,13713.0,13910.0,13508.0,16827.0,3458527664.0,2.98,1.8,242.0,0.0
2025-12-09,13765.0,13629.0,13770.0,13543.0,10554.0,2160638176.0,1.66,-0.53,-73.0,0.0
2025-12-10,13771.0,14378.0,14413.0,13750.0,25953.0,5497627392.0,4.86,5.35,730.0,0.0
2025-12-11,14294.0,14500.0,14667.0,14092.0,19587.0,4235663424.0,4.07,2.68,378.0,0.0
2025-12-12,14540.0,14905.0,15033.0,14508.0,18294.0,4059348880.0,3.64,3.39,489.0,0.0
2025-12-15,15043.0,14835.0,15204.0,14285.0,38014.0,8412947200.0,6.21,0.28,42.0,0.0
2025-12-16,14949.0,14705.0,14987.0,14500.0,18487.0,4102996208.0,3.3,-0.33,-49.0,0.0
2025-12-17,14741.0,15549.0,15598.0,14668.0,29630.0,6751225856.0,6.29,5.1,754.0,0.0
2025-12-18,15474.0,15558.0,15703.0,15270.0,18858.0,4379883520.0,2.85,2.42,368.0,0.0
2025-12-19,15500.0,15403.0,15570.0,15105.0,22785.0,5238258432.0,3.0,-0.52,-80.0,0.0
2025-12-22,15403.0,16220.0,16320.0,15385.0,23419.0,5579545856.0,6.1,5.83,894.0,0.0
2025-12-23,16217.0,16460.0,16580.0,16108.0,21267.0,5204663296.0,2.97,3.63,577.0,0.0
2025-12-24,16521.0,17616.0,17649.0,16450.0,45530.0,11637271040.0,7.35,7.97,1301.0,0.0
2025-12-25,17651.0,17410.0,17679.0,16795.0,29428.0,7594427136.0,5.19,2.18,371.0,0.0
2025-12-26,17435.0,18325.0,18638.0,17353.0,36264.0,9912285440.0,7.47,6.52,1121.0,0.0
2025-12-29,18283.0,18241.0,19993.0,17689.0,59357.0,16914370048.0,12.64,0.1,19.0,0.0
