report_date,source_date,symbol,variety,contract,close,change_pct,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260819,2026-08-19,RR,粳米,rr2609,3638,0.08,,,1625,-10432,-86.52,-45426200,OK,同花顺期货通截图
20260819,2026-08-19,SS,不锈钢,ss2610,14260,-0.07,,,118600,-1886,-1.57,-24730500,OK,同花顺期货通截图
20260819,2026-08-19,SP,纸浆,sp2611,4718,-0.08,,,279500,-871,-0.31,-10462700,OK,同花顺期货通截图
20260819,2026-08-19,NI,沪镍,ni2609,127850,-0.36,,,118700,-4831,-3.91,-175000000,OK,同花顺期货通截图
20260819,2026-08-19,AO,氧化铝,ao2610,2668,-0.37,,,299600,7316,2.50,69163100,OK,同花顺期货通截图
20260819,2026-08-19,PX,对二甲苯,PX2611,8296,-0.38,,,167000,5966,3.70,25625100,OK,同花顺期货通截图
20260819,2026-08-19,OP,双胶纸,op2610,3880,-0.51,,,19000,-328,-1.69,-9513700,OK,同花顺期货通截图
20260819,2026-08-19,AD,铝合金,ad2610,22940,-0.56,,,18400,-509,-2.70,-28822600,OK,同花顺期货通截图
20260819,2026-08-19,RS,油菜籽,RS2609,5902,-0.64,,,42,-4,-8.70,-97200,OK,同花顺期货通截图
20260819,2026-08-19,PK,花生,PK2611,8154,-0.66,,,224700,15570,7.45,84186100,OK,同花顺期货通截图
20260819,2026-08-19,AP,苹果,AP2610,7807,-0.99,,,118100,-11316,-8.74,-173000000,OK,同花顺期货通截图
20260819,2026-08-19,CU,沪铜,cu2609,106850,-1.05,,,175200,-17160,-8.92,-2245000000,OK,同花顺期货通截图
20260819,2026-08-19,AL,沪铝,al2610,23675,-1.07,,,269000,13290,5.20,267000000,OK,同花顺期货通截图
20260819,2026-08-19,SN,沪锡,sn2609,420160,-1.21,,,34300,-5706,-14.28,-736000000,OK,同花顺期货通截图
20260819,2026-08-19,AU,沪金,au2610,945.56,-1.26,,,195700,-4278,-2.14,-1988000000,OK,同花顺期货通截图
20260819,2026-08-19,LH,生猪,lh2611,12315,-1.36,,,200000,-525,-0.26,-114000000,OK,同花顺期货通截图
20260819,2026-08-19,ZN,沪锌,zn2610,25325,-1.46,,,139700,-12688,-8.33,-417000000,OK,同花顺期货通截图
20260819,2026-08-19,BC,国际铜,bc2609,94740,-1.53,,,13100,-594,-4.35,-82953400,OK,同花顺期货通截图
20260819,2026-08-19,FG,玻璃,FG2701,902,-1.74,,,1572600,256823,19.52,763000000,OK,同花顺期货通截图
20260819,2026-08-19,PS,多晶硅,ps2611,37815,-1.78,,,102300,3151,3.18,107000000,OK,同花顺期货通截图
20260819,2026-08-19,TA,PTA,TA2609,5932,-1.79,,,458700,-72394,-13.63,-502000000,OK,同花顺期货通截图
20260819,2026-08-19,JD,鸡蛋,jd2610,3813,-1.90,,,291300,-6045,-2.03,-59325300,OK,同花顺期货通截图
20260819,2026-08-19,SA,纯碱,SA2701,1012,-2.50,,,1005300,81135,8.78,171000000,OK,同花顺期货通截图
20260819,2026-08-19,LC,碳酸锂,lc2701,150660,-3.01,,,315600,4347,1.40,-246000000,OK,同花顺期货通截图
20260819,2026-08-19,AG,沪银,ag2610,15432,-4.12,,,301300,-7620,-2.47,-1855000000,OK,同花顺期货通截图
