date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2026-04-14,164860.0,166160.0,169280.0,163460.0,1006.0,166369780.0,3.61,3.2,5160.0,0.0
2026-04-15,167160.0,166340.0,171000.0,164740.0,2052.0,342701984.0,3.79,0.59,980.0,0.0
2026-04-16,170020.0,173020.0,173020.0,167700.0,1547.0,263637360.0,3.19,3.6,6020.0,0.0
2026-04-17,181020.0,174640.0,181020.0,171580.0,947.0,164671420.0,5.54,2.49,4240.0,0.0
2026-04-20,170920.0,178700.0,179000.0,170920.0,876.0,155520640.0,4.65,2.77,4820.0,0.0
2026-04-21,177300.0,173040.0,177640.0,168900.0,808.0,140318020.0,4.92,-2.52,-4480.0,0.0
2026-04-22,172700.0,174600.0,175400.0,170940.0,942.0,162664800.0,2.57,0.54,940.0,0.0
2026-04-23,176000.0,176420.0,177400.0,171400.0,900.0,156756940.0,3.47,2.17,3740.0,0.0
2026-04-24,176880.0,177200.0,178000.0,173680.0,1553.0,274200384.0,2.48,1.75,3040.0,0.0
2026-04-27,180180.0,179520.0,182860.0,177700.0,1059.0,190709140.0,2.92,1.68,2960.0,0.0
2026-04-28,179900.0,177600.0,179900.0,172380.0,1800.0,317650304.0,4.18,-1.38,-2480.0,0.0
2026-04-29,177000.0,183560.0,183640.0,175000.0,1294.0,232316640.0,4.9,4.02,7100.0,0.0
2026-04-30,183600.0,188800.0,189360.0,182220.0,2117.0,393235824.0,3.98,5.17,9280.0,0.0
2026-05-06,193660.0,198200.0,198400.0,190460.0,2264.0,445025920.0,4.27,6.71,12460.0,0.0
2026-05-07,196640.0,197740.0,198900.0,192060.0,3051.0,597114224.0,3.48,0.6,1180.0,0.0
2026-05-08,197280.0,195700.0,199800.0,194280.0,1682.0,331969840.0,2.82,0.0,0.0,0.0
2026-05-11,196180.0,203140.0,204900.0,193980.0,2365.0,475469536.0,5.53,2.93,5780.0,0.0
2026-05-12,203640.0,205040.0,207500.0,202980.0,2041.0,418854704.0,2.25,1.99,4000.0,0.0
2026-05-13,207800.0,202400.0,209840.0,196020.0,5185.0,1050635776.0,6.73,-1.37,-2820.0,0.0
