date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2026-03-26,1572.0,1562.0,1589.0,1552.5,5767.0,542828608.0,2.34,-0.06,-1.0,0.0
2026-03-27,1573.0,1550.0,1580.0,1523.0,6554.0,606117152.0,3.63,-1.18,-18.5,0.0
2026-03-30,1563.0,1543.5,1572.0,1529.5,5125.0,477134288.0,2.76,0.16,2.5,0.0
2026-03-31,1550.0,1476.0,1550.0,1475.5,9498.0,859686624.0,4.8,-4.87,-75.5,0.0
2026-04-01,1476.0,1452.5,1486.0,1451.0,7044.0,621135664.0,2.32,-3.71,-56.0,0.0
2026-04-02,1455.0,1475.5,1491.0,1447.0,8590.0,754655760.0,2.99,0.41,6.0,0.0
2026-04-03,1481.0,1455.0,1500.0,1445.5,7215.0,632333888.0,3.72,-0.61,-9.0,0.0
2026-04-07,1457.5,1461.0,1472.0,1446.5,4238.0,371770288.0,1.75,0.03,0.5,0.0
2026-04-08,1461.5,1463.0,1480.0,1440.0,6534.0,572904272.0,2.74,0.07,1.0,0.0
2026-04-09,1462.0,1427.5,1466.0,1427.0,8243.0,718259760.0,2.67,-2.29,-33.5,0.0
2026-04-10,1427.5,1414.0,1428.0,1401.5,9613.0,815925184.0,1.83,-2.62,-38.0,0.0
2026-04-13,1411.0,1432.0,1436.0,1407.0,5960.0,509352816.0,2.05,1.24,17.5,0.0
2026-04-14,1433.0,1425.5,1435.0,1416.0,4506.0,385126768.0,1.33,0.11,1.5,0.0
2026-04-15,1433.0,1442.0,1445.0,1425.0,5256.0,453239856.0,1.4,1.26,18.0,0.0
2026-04-16,1445.0,1454.0,1454.0,1431.5,5443.0,470610864.0,1.57,1.18,17.0,0.0
2026-04-17,1447.0,1434.0,1452.0,1424.5,6757.0,582626400.0,1.91,-0.49,-7.0,0.0
2026-04-20,1431.0,1469.5,1475.5,1420.5,13893.0,1210716304.0,3.83,2.26,32.5,0.0
2026-04-21,1467.0,1470.0,1477.0,1457.0,8874.0,780840368.0,1.38,1.24,18.0,0.0
2026-04-22,1470.0,1482.0,1487.0,1460.5,10002.0,884531408.0,1.81,1.06,15.5,0.0
2026-04-23,1479.0,1465.5,1499.5,1461.5,11006.0,978496768.0,2.58,-0.54,-8.0,0.0
2026-04-24,1472.0,1468.5,1484.5,1455.5,10156.0,897053040.0,1.96,-0.88,-13.0,0.0
2026-04-27,1472.0,1486.0,1492.0,1468.0,12403.0,1104054176.0,1.63,0.95,14.0,0.0
2026-04-28,1489.5,1474.5,1492.0,1460.5,9540.0,842665712.0,2.12,-0.61,-9.0,0.0
2026-04-29,1475.0,1482.0,1486.0,1463.0,8531.0,755278080.0,1.56,0.68,10.0,0.0
2026-04-30,1486.0,1496.5,1504.0,1480.0,13837.0,1239598560.0,1.63,1.42,21.0,0.0
2026-05-06,1493.0,1525.0,1540.0,1489.0,14391.0,1317529616.0,3.42,2.14,32.0,0.0
2026-05-07,1518.5,1514.5,1520.5,1492.5,16924.0,1529832992.0,1.84,-0.72,-11.0,0.0
2026-05-08,1510.0,1504.0,1524.5,1500.5,22216.0,2016302768.0,1.59,-0.17,-2.5,0.0
2026-05-11,1510.0,1547.0,1555.5,1505.5,34808.0,3201096848.0,3.31,2.28,34.5,0.0
2026-05-12,1552.0,1485.0,1552.0,1481.0,38306.0,3485114224.0,4.63,-3.1,-47.5,0.0
2026-05-13,1488.0,1496.5,1499.5,1470.0,30724.0,2736072816.0,1.95,-1.29,-19.5,0.0
2026-05-14,1500.0,1493.5,1502.5,1484.5,17168.0,1539960096.0,1.21,0.64,9.5,0.0
2026-05-15,1488.0,1475.0,1495.0,1471.0,16584.0,1475417936.0,1.61,-1.3,-19.5,0.0
2026-05-18,1478.5,1457.0,1490.5,1457.0,23137.0,2049974944.0,2.26,-1.72,-25.5,0.0
2026-05-19,1454.0,1469.5,1471.5,1453.5,15099.0,1324504288.0,1.22,-0.47,-7.0,0.0
2026-05-20,1472.5,1473.0,1479.0,1450.0,22912.0,2013666384.0,1.98,0.75,11.0,0.0
2026-05-21,1480.0,1448.5,1480.0,1447.0,25897.0,2269462112.0,2.25,-1.09,-16.0,0.0
2026-05-22,1448.0,1417.0,1452.5,1415.0,26427.0,2265577824.0,2.57,-2.98,-43.5,0.0
2026-05-25,1412.0,1542.5,1542.5,1407.5,33490.0,2989042976.0,9.45,7.98,114.0,0.0
2026-05-26,1592.5,1487.5,1600.0,1454.5,151460.0,13768323328.0,9.78,0.0,0.0,0.0
2026-05-27,1495.0,1512.0,1524.5,1484.0,61829.0,5569054464.0,2.67,-0.2,-3.0,0.0
2026-05-28,1516.0,1526.0,1537.5,1511.0,48337.0,4426575872.0,1.77,1.67,25.0,0.0
2026-05-29,1521.0,1522.0,1531.0,1511.5,35644.0,3251845856.0,1.28,-0.26,-4.0,0.0
2026-06-01,1525.0,1602.0,1627.0,1523.5,108546.0,10335278080.0,6.81,5.36,81.5,0.0
2026-06-02,1585.0,1589.5,1603.5,1583.0,58094.0,5556212224.0,1.29,0.19,3.0,0.0
2026-06-03,1589.0,1602.5,1614.0,1580.5,62589.0,5986966016.0,2.1,0.53,8.5,0.0
2026-06-04,1609.0,1636.5,1652.0,1609.0,127925.0,12563605760.0,2.7,2.67,42.5,0.0
2026-06-05,1630.5,1644.5,1674.5,1623.0,105702.0,10441275136.0,3.15,0.49,8.0,0.0
2026-06-08,1642.0,1612.0,1664.0,1605.0,137294.0,13523229952.0,3.58,-2.07,-34.0,0.0
2026-06-09,1605.0,1579.0,1621.5,1544.0,166724.0,15795825408.0,4.72,-3.81,-62.5,0.0
2026-06-10,1586.0,1588.5,1600.5,1558.0,132939.0,12649599232.0,2.69,0.6,9.5,0.0
2026-06-11,1597.5,1579.5,1605.5,1554.0,87190.0,8257426176.0,3.25,-0.38,-6.0,0.0
2026-06-12,1577.5,1584.5,1604.0,1563.5,89021.0,8467842304.0,2.57,0.41,6.5,0.0
2026-06-15,1588.0,1564.0,1596.5,1552.0,73436.0,6934408704.0,2.81,-1.32,-21.0,0.0
2026-06-16,1562.0,1565.0,1584.5,1555.0,59371.0,5575056384.0,1.87,-0.54,-8.5,0.0
2026-06-17,1565.0,1558.0,1576.5,1553.0,50932.0,4780890368.0,1.5,-0.45,-7.0,0.0
2026-06-18,1532.0,1508.5,1552.5,1494.0,113089.0,10297336576.0,3.74,-3.55,-55.5,0.0
2026-06-22,1517.5,1511.5,1519.5,1494.5,47072.0,4252201888.0,1.65,-0.4,-6.0,0.0
2026-06-23,1510.0,1471.5,1510.0,1462.5,66344.0,5908804096.0,3.16,-2.26,-34.0,0.0
2026-06-24,1471.0,1474.0,1490.0,1463.5,42262.0,3744461936.0,1.79,-0.67,-10.0,0.0
2026-06-25,1469.0,1473.0,1493.5,1468.0,46190.0,4099410416.0,1.73,-0.24,-3.5,0.0
2026-06-26,1470.0,1477.5,1489.5,1457.0,52761.0,4662647552.0,2.2,-0.1,-1.5,0.0
2026-06-29,1477.0,1508.5,1513.0,1472.5,57163.0,5118627840.0,2.75,2.44,36.0,0.0
2026-06-30,1504.5,1505.0,1511.0,1482.0,60462.0,5422640896.0,1.94,0.87,13.0,0.0
